MRP,RAM_Size,RAM_Type,Display,Processor,Storage,OS,Brand
49990,8,0,14.0,8,6,0,3
67990,8,0,15.6,13,6,0,4
58000,8,0,14.0,13,6,0,1
29990,8,4,14.0,12,5,0,8
114990,16,5,13.4,9,4,0,0
33990,8,0,15.6,2,6,0,3
64990,16,0,15.6,8,6,0,0
79990,16,0,15.6,13,6,0,1
56990,8,0,15.6,6,6,0,0
81990,16,0,13.3,8,6,0,3
129990,16,0,15.6,15,4,0,6
38990,8,0,15.6,2,0,0,4
79990,16,0,15.6,9,2,0,3
139990,8,3,13.6,24,6,1,7
109990,16,1,17.3,15,4,0,0
154990,16,1,15.6,11,4,0,0
62990,16,0,15.6,13,6,0,1
47990,8,0,14.0,12,6,0,0
43667,8,0,15.6,3,6,0,4
135990,16,1,15.6,9,4,0,0
98990,16,1,15.6,9,6,0,0
46990,16,4,14.0,15,6,0,8
35990,8,0,14.0,12,5,0,0
109990,16,1,17.3,15,4,0,0
139990,8,3,13.6,24,6,1,7
74770,8,0,14.0,13,6,0,4
40799,8,0,14.0,3,6,0,3
69490,16,0,15.6,13,6,0,0
39990,8,0,14.0,12,6,0,0
99990,16,5,13.3,8,6,0,0
241990,16,3,16.2,22,4,1,7
40990,8,0,15.6,13,6,0,5
60390,8,0,15.6,13,6,0,3
69990,8,0,15.6,13,2,0,3
44990,8,0,14.0,12,5,0,0
44990,8,0,15.6,13,5,0,0
55990,16,0,15.6,8,6,0,3
74990,16,4,14.0,13,6,0,1
59990,8,0,15.6,13,4,0,0
222990,16,3,16.2,22,6,1,7
62990,8,0,15.6,8,6,0,5
58499,8,0,15.6,13,6,0,6
65990,8,0,15.6,13,2,0,1
111990,16,1,15.6,15,6,0,4
68490,16,0,15.6,13,6,0,1
83990,8,0,14.0,13,0,0,0
54990,8,0,15.6,13,6,0,5
14990,4,2,11.6,17,6,4,0
149990,8,0,13.3,21,4,1,7
63090,8,0,13.78,13,6,0,4
200000,16,1,15.6,15,4,0,6
37390,8,0,15.6,12,5,0,1
63990,8,4,14.0,13,6,0,0
43090,8,0,14.0,12,6,0,4
44700,4,0,15.6,12,5,0,1
41150,8,0,14.0,12,5,0,3
33990,8,0,15.6,2,5,0,0
190890,16,1,17.3,15,4,0,6
174990,16,5,13.4,16,4,0,0
118990,16,0,16.1,9,4,0,3
63980,16,0,15.6,13,6,0,0
54300,8,0,15.6,8,6,0,5
36400,8,0,15.6,2,5,0,4
28590,4,0,15.6,12,5,0,0
69999,16,0,16.0,8,6,0,4
301990,32,1,15.6,16,4,0,0
37000,8,0,15.0,12,5,0,1
64990,16,0,13.0,13,6,0,1
42690,8,0,14.96,12,5,0,4
140990,16,1,15.6,9,4,0,0
38990,4,0,15.0,12,5,0,1
128990,16,4,13.5,15,6,0,3
54999,8,0,15.6,12,6,0,5
60130,8,0,15.6,13,2,0,5
29490,8,0,14.0,19,5,0,5
72490,8,0,14.0,13,6,0,4
73990,16,0,15.6,13,6,0,15
47130,8,0,15.6,13,0,0,5
55600,8,0,14.0,9,6,0,1
49690,8,0,14.0,7,6,0,4
239990,32,1,16.0,15,4,0,0
73990,16,0,15.6,13,6,0,6
52490,8,0,14.0,8,6,0,3
41990,8,0,15.6,12,6,0,3
29990,8,0,14.0,20,5,0,0
50490,8,0,14.0,13,6,0,14
96490,16,0,15.6,15,3,0,5
74990,16,4,14.0,13,6,0,6
51990,8,0,15.6,13,6,0,0
71345,8,0,15.6,8,2,0,0
101490,16,0,15.6,15,4,0,0
274990,32,1,15.6,15,4,0,6
199990,16,1,15.6,11,4,0,0
41090,8,0,14.0,12,5,0,4
50499,8,0,15.6,13,5,0,1
78950,8,0,16.1,9,6,0,3
67990,16,4,14.0,8,6,0,1
187990,16,0,15.6,11,4,0,0
102990,16,0,14.0,15,4,0,1
35990,4,0,15.6,12,5,3,0
52575,8,0,15.6,7,6,0,3
50990,8,0,15.6,7,6,0,4
60125,16,0,15.6,13,6,0,1
