,MRP,RAM_Size(GB),RAM_Type,Processor,Storage(GB),OS,Brand
242,94990,16,LPDDR4X,Intel Core i7 ,1,Windows,ASUS
243,69990,8,DDR4,Intel Core i5 ,512,Windows,Lenovo
244,59990,8,DDR4,Intel Core i5 ,512,Windows,ASUS
245,66990,16,DDR4,Intel Core i5 ,512,Windows,ASUS
248,104990,16,LPDDR4X,Intel Core i7 ,512,Windows,ASUS
249,54900,8,DDR4,Intel i3,256,Windows,DELL
252,136990,16,DDR4,AMD Ryzen 7 Octa Core ,1,Windows,Lenovo
253,48184,8,DDR4,AMD Ryzen 5,512,Windows,DELL
254,74990,16,DDR4,Intel Core i5 ,512,Windows,ASUS
255,60990,8,DDR4,Intel Core i5 ,512,Windows,acer
258,49990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,HP
259,67990,8,DDR4,Intel Core i5 ,512,Windows,DELL
262,58000,8,DDR4,Intel Core i5 ,512,Windows,Lenovo
263,29990,8,LPDDR4X,Intel Core i3 ,256,Windows,Infinix
264,114990,16,LPDDR5,AMD Ryzen 7 Octa Core ,1,Windows,ASUS
265,33990,8,DDR4,AMD Ryzen 3 Dual Core ,512,Windows,HP
268,64990,16,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,ASUS
269,79990,16,DDR4,Intel Core i5 ,512,Windows,Lenovo
273,56990,8,DDR4,AMD Ryzen 5 Dual Core ,512,Windows,ASUS
274,81990,16,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,HP
275,129990,16,DDR4,Intel Core i7 ,1,Windows,MSI
278,38990,8,DDR4,AMD Ryzen 3 Dual Core ,0,Windows,DELL
279,79990,16,DDR4,AMD Ryzen 7 Octa Core ,256,Windows,HP
282,139990,8,Unified Memory,M2 ,512,Mac OS,APPLE
283,109990,16,DDR5,Intel Core i7 ,1,Windows,ASUS
284,154990,16,DDR5,AMD Ryzen 9 Octa Core ,1,Windows,ASUS
285,62990,16,DDR4,Intel Core i5 ,512,Windows,Lenovo
288,47990,8,DDR4,Intel Core i3 ,512,Windows,ASUS
289,43667,8,DDR4,AMD Ryzen 3 Quad Core ,512,Windows,DELL
290,135990,16,DDR5,AMD Ryzen 7 Octa Core ,1,Windows,ASUS
292,98990,16,DDR5,AMD Ryzen 7 Octa Core ,512,Windows,ASUS
293,46990,16,LPDDR4X,Intel Core i7 ,512,Windows,Infinix
294,35990,8,DDR4,Intel Core i3 ,256,Windows,ASUS
296,109990,16,DDR5,Intel Core i7 ,1,Windows,ASUS
297,139990,8,Unified Memory,M2 ,512,Mac OS,APPLE
298,74770,8,DDR4,Intel Core i5 ,512,Windows,DELL
300,40799,8,DDR4,AMD Ryzen 3 Quad Core ,512,Windows,HP
301,69490,16,DDR4,Intel Core i5 ,512,Windows,ASUS
302,39990,8,DDR4,Intel Core i3 ,512,Windows,ASUS
304,99990,16,LPDDR5,AMD Ryzen 5 Hexa Core ,512,Windows,ASUS
305,241990,16,Unified Memory,M1 Pro ,1,Mac OS,APPLE
306,40990,8,DDR4,Intel Core i5 ,512,Windows,acer
308,60390,8,DDR4,Intel Core i5 ,512,Windows,HP
309,69990,8,DDR4,Intel Core i5 ,256,Windows,HP
310,44990,8,DDR4,Intel Core i3 ,256,Windows,ASUS
312,44990,8,DDR4,Intel Core i5 ,256,Windows,ASUS
318,55990,16,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,HP
319,74990,16,LPDDR4X,Intel Core i5 ,512,Windows,Lenovo
324,59990,8,DDR4,Intel Core i5 ,1,Windows,ASUS
325,222990,16,Unified Memory,M1 Pro ,512,Mac OS,APPLE
332,62990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,acer
334,58499,8,DDR4,Intel Core i5 ,512,Windows,MSI
335,65990,8,DDR4,Intel Core i5 ,256,Windows,Lenovo
338,111990,16,DDR5,Intel Core i7 ,512,Windows,DELL
339,68490,16,DDR4,Intel Core i5 ,512,Windows,Lenovo
343,83990,8,DDR4,Intel Core i5 ,0,Windows,ASUS
344,54990,8,DDR4,Intel Core i5 ,512,Windows,acer
345,14990,4,LPDDR4,Intel Celeron Dual Core ,0,Chrome,ASUS
348,149990,8,DDR4,M1 ,1,Mac OS,APPLE
349,63090,8,"DDR4,",Intel Core i5,512,Windows,DELL
352,200000,16,DDR5,Intel Core i7 ,1,Windows,MSI
353,37390,8,DDR4,Intel Core i3 ,256,Windows,Lenovo
354,63990,8,LPDDR4X,Intel Core i5 ,512,Windows,ASUS
355,43090,8,DDR4,Intel Core i3,512,Windows,DELL
358,44700,4,DDR4,Intel Core i3 ,256,Windows,Lenovo
359,41150,8,DDR4,Intel Core i3 ,256,Windows,HP
362,33990,8,DDR4,AMD Ryzen 3 Dual Core ,256,Windows,ASUS
363,190890,16,DDR5,Intel Core i7 ,1,Windows,MSI
364,174990,16,LPDDR5,Intel Core i9 ,1,Windows,ASUS
365,118990,16,DDR4,AMD Ryzen 7 Octa Core ,1,Windows,HP
368,63980,16,DDR4,Intel Core i5 ,512,Windows,ASUS
369,54300,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,acer
372,36400,8,DDR4,AMD Ryzen 3 Dual Core ,256,Windows,DELL
373,28590,4,DDR4,Intel Core i3 ,256,Windows,ASUS
