MRP,RAM_Size,RAM_Type,Display,Processor,Storage,OS,Brand
36990,8,DDR4,14.0,Intel Core i3,256 GB SSD,Windows,Lenovo
39990,8,DDR4,15.6,Intel Core i3,512 GB SSD,Windows,Lenovo
32990,8,DDR4,15.6,Intel Core i3,512 GB SSD,Windows,ASUS
49990,8,DDR4,15.6,AMD Ryzen 5 Hexa Core,512 GB SSD,Windows,HP
49990,8,DDR4,15.6,Intel Core i5,512 GB SSD,Windows,ASUS
36990,8,DDR4,14.0,Intel Core i3,256 GB SSD,Windows,HP
38990,8,DDR4,15.6,Intel Core i3,"1 TB HDD, 256 GB SSD",Windows,DELL
39990,8,DDR4,15.6,Intel Core i5,512 GB SSD,Windows,RedmiBook
46990,8,DDR4,14.0,Intel Core i3,256 GB SSD,Windows,realme
44990,16,DDR4,14.0,AMD Ryzen 7 Quad Core,512 GB SSD,Windows,ASUS
59990,8,DDR4,15.6,AMD Ryzen 5 Hexa Core,512 GB SSD,Windows,HP
38705,8,DDR4,15.6,AMD Ryzen 5 Quad Core,512 GB SSD,Windows,Lenovo
32990,8,DDR4,15.6,Intel Core i3,256 GB SSD,Windows,ASUS
52990,8,DDR4,17.3,AMD Ryzen 5 Hexa Core,512 GB SSD,Windows,ASUS
29990,8,DDR4,15.6,Intel Core i3,256 GB SSD,Windows,acer
196990,16,DDR5,15.6,AMD Ryzen 9 Octa Core,128 GB SSD,Windows,ASUS
47990,8,DDR4,15.6,Intel Core i5,"1 TB HDD, 256 GB SSD",Windows,ASUS
45990,8,DDR4,15.6,Intel Core i5,512 GB SSD,Windows,ASUS
47990,8,DDR4,15.6,AMD Ryzen 5 Hexa Core,512 GB SSD,Windows,MSI
85990,16,DDR4,15.6,AMD Ryzen 7 Octa Core,128 GB SSD,Windows,ASUS
88990,8,DDR4,13.3,M1,256 GB SSD,Mac OS,APPLE
40990,8,DDR4,14.0,Intel Core i3,512 GB SSD,Windows,HP
19490,4,LPDDR4,15.6,Intel Celeron Dual Core,"1 TB HDD, 256 GB SSD",DOS,Lenovo
35590,8,DDR4,15.6,AMD Ryzen 3 Dual Core,512 GB SSD,Windows,Lenovo
65990,8,DDR4,15.6,Intel Core i5,512 GB SSD,Windows,HP
58990,16,DDR4,15.6,Intel Core i5,512 GB SSD,Windows,acer
24990,8,DDR4,15.6,AMD Ryzen 3 Dual Core,256 GB SSD,Windows,acer
47990,8,DDR4,15.6,AMD Ryzen 5 Hexa Core,512 GB SSD,Windows,acer
73990,8,DDR4,17.3,AMD Ryzen 7 Octa Core,512 GB SSD,Windows,ASUS
53490,8,DDR4,15.6,Intel Core i5,512 GB SSD,Windows,Lenovo
150990,16,DDR4,15.6,AMD Ryzen 9 Octa Core,128 GB SSD,Windows,ASUS
51990,8,DDR4,15.6,Intel Core i5,512 GB SSD,Windows,Lenovo
66990,16,DDR4,14.0,Intel Core i5,512 GB SSD,Windows,ASUS
194990,16,DDR5,15.6,AMD Ryzen 9 Octa Core,128 GB SSD,Windows,ASUS
51990,16,DDR4,15.6,AMD Ryzen 5 Hexa Core,512 GB SSD,Windows,acer
25990,8,DDR4,14.0,AMD Athlon Dual Core,256 GB SSD,Windows,HP
35990,8,DDR4,15.6,AMD Ryzen 5 Quad Core,512 GB SSD,Windows,acer
43990,8,DDR4,15.6,Intel Core i5,512 GB SSD,Windows,ASUS
44990,8,DDR4,15.6,AMD Ryzen 5 Hexa Core,512 GB SSD,Windows,Lenovo
64490,8,DDR4,15.6,AMD Ryzen 5 Hexa Core,512 GB SSD,Windows,Lenovo
40990,8,DDR4,15.6,Intel Core i3,256 GB SSD,Windows,ASUS
38990,8,DDR4,14.0,Intel Core i3,512 GB SSD,Windows,ASUS
58990,8,DDR4,15.6,Intel Core i5,512 GB SSD,Windows,HP
59990,8,DDR4,14.0,Intel Evo Core i5,512 GB SSD,Windows,realme
47990,8,DDR4,15.6,Intel Core i5,512 GB SSD,Windows,acer
37499,8,DDR4,15.6,AMD Ryzen 3 Quad Core,512 GB SSD,Windows,HP
94990,8,DDR4,14.0,AMD Ryzen 9 Octa Core,128 GB SSD,Windows,ASUS
32990,8,DDR4,15.6,Intel Core i3,512 GB SSD,Windows,ASUS
23990,4,DDR4,14.0,Intel Celeron Dual Core,256 GB SSD,Windows,ASUS
48990,16,DDR4,14.0,AMD Ryzen 5 Hexa Core,512 GB SSD,Windows,HP
139990,8,Unified Memory,13.3,M2,512 GB SSD,Mac OS,APPLE
89990,16,DDR4,15.6,AMD Ryzen 7 Octa Core,512 GB SSD,Windows,ASUS
59990,8,DDR4,15.6,AMD Ryzen 5 Hexa Core,128 GB SSD,Windows,ASUS
70990,16,DDR4,15.6,AMD Ryzen 5,512 GB SSD,Windows,DELL
22990,8,LPDDR4X,14.0,Intel Celeron Quad Core,256 GB SSD,Windows,Infinix
46990,8,DDR4,15.6,AMD Ryzen 5 Hexa Core,512 GB SSD,Windows,HP
50990,8,DDR4,15.6,Intel Core i5,"1 TB HDD, 256 GB SSD",Windows,ASUS
28990,8,LPDDR4X,14.0,Intel Core i3,256 GB SSD,Windows,Infinix
